card,card_type,ability,part,timing,attack_side,resolution,affects_self,affects_others,conditional,limit,surge_option,effect,pipelines,notes
Ewok Warrior (Elite),DC,Sling Barrage,1,special_action,None,prompt,TRUE,None,None,None,FALSE,Perform a Ranged attack using your printed attack pool; during this attack you may reroll up to 1 attack die for each other figure in your group with line of sight to the defender,reroll,None
Ezra Bridger,DC,Brash,1,start_of_round,None,automatic,TRUE,None,None,None,FALSE,Move up to 4 spaces,move,None
Ezra Bridger,DC,Much to Learn,1,attack:rerolls,attacker,prompt,TRUE,None,another friendly unique figure within 3 spaces,None,FALSE,You may reroll 1 attack die; if that figure is a FORCE USER you may turn that attack die to any side instead,reroll,None
Fenn Signis,DC,Havoc Shot,1,attack:after_resolves,attacker,prompt,TRUE,up to 2 figures within 2 spaces of the target space in your line of sight,the attack did not miss,None,FALSE,Suffer 1 Strain to choose up to 2 figures within 2 spaces of the target space in your line of sight; those figures suffer 1 Damage,strain;damage,None
Fenn Signis,DC,Tactical Movement,1,start_of_activation,None,prompt,TRUE,a friendly figure within 3 spaces,None,None,FALSE,Choose a friendly figure within 3 spaces; that figure gains 2 movement points,gain_mp,None
Fennec Shand,DC,Bounty,1,when_defeated,None,automatic,TRUE,None,None,None,FALSE,Your opponent gains 2 VPs,vp,None
Fennec Shand,DC,Sharpshooter,1,attack:on_declare,attacker,automatic,TRUE,None,the target is 5 or more spaces away,None,FALSE,You become Focused,condition,None
Fifth Brother,DC,Vigor,1,start_of_activation,None,prompt,TRUE,None,None,None,FALSE,You may gain 2 movement points or 1 Block Token,gain_mp,None
Fifth Brother,DC,Relentless Pursuit,1,attack:on_declare,attacker,automatic,FALSE,the attack target,None,None,FALSE,The target suffers 1 Strain,strain,None
Fifth Brother,DC,Sith Acolyte,1,special_action,None,prompt,TRUE,None,None,None,FALSE,"Search your Command deck for a card with the FORCE USER or BRAWLER trait that costs 2 or less, reveal it, put it into your hand, then shuffle your Command deck",cc_draw,None
Gaarkhan,DC,Brutal Cleave,1,attack:after_resolves,attacker,prompt,TRUE,a different figure or object,None,once per activation,FALSE,"After you resolve an attack during your activation, you may suffer 1 Strain to perform an attack using 1 red and 1 yellow die targeting a different figure or object",strain;damage,None
Gaarkhan,DC,Charge,1,special_action,None,prompt,TRUE,None,None,None,FALSE,"Move a number of spaces up to your Speed, then you may perform an attack",move;damage,None
Gamorrean Guard (Elite),DC,Gamorrean Honor Guard,1,attack:modifiers,defender,automatic,TRUE,None,defending during a Ranged attack,None,FALSE,Apply +1 Block to the defense results,None,None
Gamorrean Guard (Elite),DC,Professional,1,attack:rerolls,attacker,prompt,TRUE,None,None,None,FALSE,"While attacking, you may reroll 1 attack die",reroll,None
Gar Saxon,DC,Airborne Commander,1,always,None,automatic,FALSE,friendly Mobile figures within 4,None,None,FALSE,Friendly Mobile figures within 4 spaces can use your surge abilities,None,None
Gar Saxon,DC,Personal Combat Shield,1,attack:modifiers,defender,automatic,TRUE,None,whenever you spend a Block while defending,None,FALSE,Apply +1 Evade to the defense results,None,None
Gar Saxon,DC,Gar Saxon's Flamethrower,1,special_action,None,prompt,FALSE,each other figure on or adjacent to a chosen space within 2,None,None,FALSE,Choose a space within 2 spaces. Each other figure on or adjacent to that space suffers 1 Damage and 1 Strain and discards 1 Power Token,damage;strain,None
General Sorin,DC,Bombardment,1,special_action,None,prompt,FALSE,an adjacent friendly figure,None,None,FALSE,Choose an adjacent friendly figure. That figure may interrupt to perform an attack. The attack gains Blast 1,damage,None
General Sorin,DC,Advanced Firepower,1,always,None,automatic,FALSE,adjacent friendly DROIDS and VEHICLES,None,None,FALSE,Adjacent friendly DROIDS and VEHICLES can use your surge abilities,None,None
General Weiss,DC,General's Orders,1,start_of_activation,None,prompt,FALSE,up to 2 other friendly figures on the map,None,None,FALSE,Choose up to 2 other friendly figures on the map. Those figures may each interrupt to perform a move,move,None
General Weiss,DC,Epic Arsenal,1,always,None,automatic,TRUE,None,None,None,FALSE,Your attack pool consists of any combination of 3 attack dice. You cannot roll more than 2 dice of a single color,None,None
Gideon Argus,DC,Tactical Maneuver,1,special_action,None,prompt,FALSE,another friendly figure in your line of sight,None,None,FALSE,Choose another friendly figure in your line of sight. That figure gains 2 movement points,gain_mp,None
Gideon Argus,DC,On My Mark,1,special_action,None,prompt,FALSE,another friendly figure in your line of sight,None,None,FALSE,Choose another friendly figure in your line of sight. That figure becomes Focused,condition,None
Greedo,DC,Slow on the Draw,1,attack:on_declare,attacker,prompt,TRUE,the defender,None,None,FALSE,"When you declare an attack, the defender may interrupt to perform an attack targeting you",damage,None
Greedo,DC,Parting Shot,1,when_suffers_damage_equal_to_health,None,prompt,TRUE,None,before you are defeated,None,FALSE,"You may interrupt to perform an attack, then you are defeated",damage,None
Han Solo,DC,Return Fire,1,attack:after_resolves,defender,prompt,TRUE,that attacker,you did not suffer any Damage,once per round,FALSE,"After an attack targeting you is resolved, if you did not suffer any Damage, you may interrupt to perform an attack targeting that attacker",damage,None
Han Solo,DC,Distracting,1,attack:modifiers,defender,automatic,FALSE,a friendly figure being targeted,you are adjacent to the targeted space,None,FALSE,"While a friendly figure is defending, and you are adjacent to the targeted space, apply +1 Evade to the defense results",None,None
Han Solo,DC,Cunning,1,attack:modifiers,defender,automatic,TRUE,None,for each Evade result,None,FALSE,"While defending, apply +1 Block to the defense results for each Evade result",None,None
Heavy Stormtrooper (Elite),DC,Modular,1,during_setup,None,prompt,TRUE,None,None,None,FALSE,"You may include an attachment card in your army and decrease its cost by 1 to a minimum of 0. During setup, you must attach that card to this group",None,trait/inclusion-adjacent but includes a setup attach action
Heavy Stormtrooper (Elite),DC,Spray Fire,1,attack:modifiers,attacker,prompt,TRUE,None,None,None,FALSE,"While attacking, you may apply -3 Accuracy and +1 Surge to the attack results",None,None
Heavy Stormtrooper (Regular),DC,Composite Plating,1,attack:modifiers,defender,automatic,TRUE,None,the attacker is 4 or more spaces away,None,FALSE,"While defending, if the attacker is 4 or more spaces away, apply +1 Block to the defense results",None,None
Hera Syndulla,DC,Call the Shots,1,attack:modifiers,attacker,prompt,FALSE,another friendly figure within 3,another friendly figure within 3 spaces is attacking,once per round,FALSE,"While another friendly figure within 3 spaces is attacking, you may apply +2 Accuracy, +1 Damage, or +1 Surge to the attack results",None,None
Hera Syndulla,DC,Smooth Landing,1,after_deployment,None,automatic,TRUE,you and each adjacent friendly figure,None,None,FALSE,"After Deployment, you and each adjacent friendly figure gains 1 movement point",gain_mp,None
Hired Gun (Elite),DC,Self-Preservation,1,when_suffers_damage,None,automatic,TRUE,None,None,None,FALSE,"When you suffer Damage, you become Focused",condition,None
Hired Gun (Elite),DC,Parting Shot,1,when_suffers_damage_equal_to_health,None,prompt,TRUE,None,before you are defeated,None,FALSE,"You may interrupt to perform an attack, then you are defeated",damage,None
Hired Gun (Regular),DC,Parting Shot,1,when_suffers_damage_equal_to_health,None,prompt,TRUE,None,before you are defeated,None,FALSE,"You may interrupt to perform an attack, then you are defeated",damage,None
Hired Gun (Regular),DC,Disposable,1,attack:modifiers,defender,automatic,TRUE,None,None,None,FALSE,"While defending, apply -1 Evade to your defense results",None,None
HK Assassin Droid (Elite),DC,Targeting Computer,1,attack:rerolls,attacker,prompt,TRUE,None,None,None,FALSE,"While attacking, you may reroll 1 attack die",reroll,None
HK Assassin Droid (Elite),DC,Versatile Weaponry,1,attack:rerolls,attacker,prompt,FALSE,the defender,None,None,FALSE,"While attacking, you may force the defender to reroll 1 defense die",reroll,None
HK Assassin Droid (Elite),DC,Merciless,1,attack:on_declare,attacker,automatic,FALSE,the defender,the defender has any HARMFUL conditions,None,FALSE,"When you declare an attack, if the defender has any HARMFUL conditions, it suffers 1 Damage",damage,None
HK-47,DC,Query,1,attack:on_declare,attacker,prompt,FALSE,the defender,None,None,FALSE,"When you declare an attack, apply +1 Damage to the attack results unless the defender becomes Bleeding",condition,None
HK-47,DC,Conclusion,1,attack:modifiers,attacker,automatic,FALSE,the defender,None,None,FALSE,"While attacking, apply -1 Evade to the defense results",None,None
HK-47,DC,Mockery,1,during_activation,None,prompt,FALSE,a hostile figure in your line of sight,None,once per activation,FALSE,"Once during your activation, you may choose a hostile figure in your line of sight. That figure suffers 1 Strain",strain,None
Hondo Ohnaka,DC,Negotiate,1,attack:on_declare,attacker,prompt,FALSE,the defender,None,None,FALSE,"When you declare an attack, apply +2 Damage to the attack results unless the defender pays you 2 VPs",vp,None
Hondo Ohnaka,DC,What's Yours is Mine,1,end_of_round,None,automatic,TRUE,an opponent,you are in an opponent's deployment zone,once per mission,FALSE,"At the end of a round, if you are in an opponent's deployment zone, that opponent loses 2 VPs and you gain 2 VPs",vp,None
Iden Versio,DC,Droid Kit,1,during_activation,None,prompt,TRUE,None,a friendly Dio is in your space,once per activation,FALSE,"Once during your activation, if a friendly Dio is in your space, you may gain 1 Power Token",None,None
Iden Versio,DC,Pulse Cannon,1,attack:modifiers,attacker,automatic,TRUE,None,you spent a Power Token during this attack,None,FALSE,"While attacking, if you spent a Power Token during this attack, apply an additional +4 Accuracy and +1 Damage to the attack results",None,None
Iden Versio,DC,ID10 Seeker Droid,1,during_setup,None,automatic,TRUE,the Dio companion,None,None,FALSE,"At the start of the game, put the Dio companion into play in your space. It activates at the start or end of your activation, and is not counted for the purposes of control",companion_place,None
IG-11,DC,Rapid Fire,1,special_action,None,prompt,TRUE,None,None,None,FALSE,Perform 2 attacks,damage,None
IG-11,DC,Targeting Computer,1,attack:rerolls,attacker,prompt,TRUE,None,None,None,FALSE,"While attacking, you may reroll 1 attack die",reroll,None
IG-11,DC,Self-Destruct Protocol,1,when_suffers_damage_equal_to_health,None,prompt,TRUE,each figure or object adjacent to you,before you are defeated,None,FALSE,"You may move up to 3 spaces and roll 1 red die. Each figure or object adjacent to you suffers Damage equal to the Damage results, then you are defeated",move;damage,None
IG-88,DC,Arsenal,1,always,None,automatic,TRUE,None,None,None,FALSE,Your attack pool consists of any combination of 2 attack dice,None,None
IG-88,DC,Relentless,1,attack:on_declare,attacker,automatic,TRUE,a figure within 3,the target is within 3 spaces,None,FALSE,"When you declare an attack targeting a figure within 3 spaces, that figure suffers 1 Strain",strain,None
IG-88,DC,Assault,1,always,None,automatic,TRUE,None,None,None,FALSE,You can perform multiple attacks each activation,None,None
Imperial Officer (Elite),DC,Executive Order,1,special_action,None,prompt,FALSE,another friendly Imperial figure within 2,None,None,FALSE,Choose another friendly Imperial figure within 2 spaces. That figure may interrupt to perform a move or attack,move;damage,None
Imperial Officer (Regular),DC,Order,1,special_action,None,prompt,FALSE,another friendly figure within 2,None,None,FALSE,"Choose another friendly figure within 2 spaces. During a campaign, that figure may interrupt to perform a move. During a skirmish, that figure gains 2 movement points",move;gain_mp,None
Imperial Officer (Regular),DC,Cower,1,attack:rerolls,defender,prompt,TRUE,None,while adjacent to a friendly figure,None,FALSE,"While defending, while adjacent to a friendly figure, you may reroll 1 defense die",reroll,None
ISB Infiltrator (Elite),DC,In The Shadows,1,when_deployed,None,automatic,TRUE,None,None,None,FALSE,When you are deployed you become Hidden,condition,None
ISB Infiltrator (Elite),DC,In The Shadows,2,end_of_activation,None,automatic,TRUE,None,None,None,FALSE,At the end of your activation you become Hidden,condition,None
ISB Infiltrator (Elite),DC,Comms Jammer,1,during_activation,None,automatic,FALSE,your opponent,None,None,FALSE,Your opponent cannot play Command cards during your activation,None,None
ISB Infiltrator (Elite),DC,Coordinated Raid,1,special_action,None,prompt,FALSE,another friendly IMPERIAL figure with cost 4 or less within 4,figure cost 4 or less within 4 spaces,once per group per round,FALSE,Another friendly IMPERIAL figure with figure cost of 4 or less within 4 spaces may interrupt to perform an attack,damage,None
ISB Infiltrator (Regular),DC,Coordinated Raid,1,special_action,None,prompt,FALSE,another figure in your group,targeting a hostile figure in your line of sight,once per group per round,FALSE,Another figure in your group may interrupt to perform an attack targeting a hostile figure in your line of sight,damage,None
J4X-7,Companion DC,Supporting Fire,1,attack:modifiers,attacker,automatic,FALSE,another friendly figure attacking a figure adjacent to you,another friendly figure is attacking a figure adjacent to you,once per activation,FALSE,"While another friendly figure is attacking a figure adjacent to you, apply Pierce 1 to the attack results",None,None
Jabba the Hutt,DC,Bully,1,special_action,None,prompt,TRUE,a figure of your choice within 3,None,None,FALSE,A figure of your choice within 3 spaces suffers 3 Damage,damage,None
Jabba the Hutt,DC,Incentivize,1,special_action,None,prompt,TRUE,a SCUM figure of your choice,None,None,FALSE,An elite figure of your choice becomes Focused,condition,None
Jabba the Hutt,DC,Scheme,1,special_action,None,prompt,TRUE,None,None,None,FALSE,Draw 1 Command card,cc_draw,None
Jabba the Hutt,DC,Order Hit,1,special_action,None,prompt,TRUE,a MERC figure of your choice,None,None,FALSE,"Spend 2 VPs. An elite figure of your choice may interrupt to perform an attack, then it gains 2 movement points",vp;damage;gain_mp,Double Action Special
Jabba the Hutt,DC,Nefarious Gains,1,always,None,automatic,TRUE,None,a hostile figure is defeated,None,FALSE,"When a hostile figure is defeated, gain 1 VP",vp,triggered when hostile figure defeated
Jarrod Kelvin,DC,Leaping Slash,1,special_action,None,prompt,TRUE,None,None,None,FALSE,"Move up to 2 spaces, then perform an attack",move;damage,None
Jarrod Kelvin,DC,Droid Master,1,during_setup,None,automatic,TRUE,J4X-7,None,None,FALSE,"At the start of a mission, put J4X-7 into play in an adjacent space. J4X-7 activates at the start or end of your activation. J4X-7 is not counted for the purposes of control",companion_place,None
Jawa Scavenger (Elite),DC,Take Cover,1,attack:modifiers,defender,prompt,TRUE,None,None,None,FALSE,"While defending, you may apply +1 Block and -1 Evade to the defense results",None,None
Jawa Scavenger (Regular),DC,Take Cover,1,attack:modifiers,defender,prompt,TRUE,None,None,None,FALSE,"While defending, you may apply +1 Block and -1 Evade to the defense results",None,None
Jet Trooper (Elite),DC,Agile,1,attack:modifiers,defender,prompt,TRUE,None,None,None,FALSE,"While defending, you may convert 1 Block to 1 Evade",None,None
Jet Trooper (Elite),DC,Fly-By,1,attack:on_declare,attacker,automatic,TRUE,None,the target space is within 2 spaces,None,FALSE,"When you declare an attack, if the target space is within 2 spaces, add 1 blue die to your attack pool",None,None
Jet Trooper (Elite),DC,Fly-By,2,attack:after_resolves,attacker,automatic,TRUE,None,None,None,FALSE,"After the attack resolves, gain 2 movement points",gain_mp,None
Jet Trooper (Regular),DC,Agile,1,attack:modifiers,defender,prompt,TRUE,None,None,None,FALSE,"While defending, you may convert 1 Block to 1 Evade",None,None
Jet Trooper (Regular),DC,Jets,1,attack:after_resolves,attacker,prompt,TRUE,None,the target space is within 2 spaces,None,FALSE,"After you resolve an attack, gain 1 movement point",gain_mp,None
Junk Droid,Companion DC,Junk Droid,1,always,None,automatic,TRUE,None,None,None,FALSE,No special ability text,None,no ability text in data
Jyn Erso,DC,Trust Goes Both Ways,1,start_of_activation,None,prompt,TRUE,an adjacent friendly figure,an adjacent friendly figure exists,once per round,FALSE,"At the start or end of your activation, choose an adjacent friendly figure; you and that figure Recover 1 Damage and gain 1 Surge Token",recover,also triggers at end_of_activation
Jyn Erso,DC,Trust Goes Both Ways,2,end_of_activation,None,prompt,TRUE,an adjacent friendly figure,an adjacent friendly figure exists,once per round,FALSE,"At the start or end of your activation, choose an adjacent friendly figure; you and that figure Recover 1 Damage and gain 1 Surge Token",recover,also triggers at start_of_activation
Jyn Erso,DC,Tonfa Strike,1,special_action,None,prompt,TRUE,None,None,None,FALSE,"Move up to 2 spaces, then you may perform a Melee attack using 1 red and 1 green die, then you may perform an attack",movement,None
Jyn Odan,DC,Hair Trigger,1,start_of_activation,None,prompt,FALSE,a hostile figure (the one activating),at the start of a hostile figure's activation,once per round,FALSE,Interrupt to perform an attack that targets the activating hostile figure,None,triggers on hostile figure's activation
Jyn Odan,DC,Sidewinder,1,attack:after_resolves,attacker,prompt,TRUE,None,None,once per round,FALSE,"After you resolve an attack, suffer 1 Strain to move up to 2 spaces",strain;movement,None
Jyn Odan,DC,Cunning,1,attack:modifiers,defender,automatic,TRUE,None,None,None,FALSE,"While defending, apply +1 Block to the defense results for each Evade result",None,None
K-2S0,DC,Vague and Unconvincing,1,attack:modifiers,defender,automatic,TRUE,None,None,None,FALSE,"While defending, your player and your opponent cannot spend power tokens or play Command cards",None,None
K-2S0,DC,Cassian Said I Had To,1,during_activation,None,prompt,TRUE,None,a friendly LEADER enters an adjacent space,once per round,FALSE,"When a friendly LEADER enters an adjacent space, gain up to 1 Damage Token",damage_token,trigger window is friendly LEADER entering adjacent space
K-2S0,DC,Continually Unexpected,1,special_action,None,prompt,TRUE,None,you have any combination of 2 Damage Tokens or 2 Surge Tokens,None,FALSE,Perform a Ranged attack using your attack pool,None,None
Kanan Jarrus,DC,Force Vision,1,start_of_activation,None,automatic,FALSE,an opponent ready group,None,None,FALSE,"At the start of your activation, your opponent chooses one of their ready groups and must activate it next if possible",None,None
Kanan Jarrus,DC,Soresu Form,1,attack:rerolls,defender,prompt,TRUE,a friendly figure within 3 spaces,a friendly figure within 3 spaces is defending,None,FALSE,"A friendly figure within 3 may reroll 1 die; if so, convert each Dodge to 2 Block and 1 Evade and, if that figure is not FORCE USER, you suffer 1 Strain",reroll;strain,None
Kayn Somos,DC,Firing Squad,1,special_action,None,prompt,FALSE,up to 2 adjacent friendly TROOPERS,None,None,FALSE,Choose up to 2 adjacent friendly TROOPERS; each may interrupt to perform an attack targeting the same figure,None,None
Ko-Tun Feralo,DC,Arms Distribution,1,start_of_activation,None,prompt,TRUE,up to 2 friendly figures within 3 spaces,None,None,FALSE,"At the beginning of your activation, distribute 2 Power Tokens among up to 2 friendly figures within 3 spaces",None,None
Ko-Tun Feralo,DC,Dead Precise,1,attack:rerolls,attacker,prompt,TRUE,a figure within 3 spaces of Ko-Tun,a figure within 3 spaces is attacking and spent a Power Token,None,FALSE,"When an attacking figure within 3 spaces spent a Power Token, it may reroll 1 attack die and apply -1 Dodge to the attack results",reroll,also applies to Ko-Tun; stacks with Professional
Ko-Tun Feralo,DC,Squad Cohesion,1,attack:on_declare,attacker,prompt,TRUE,a friendly REBEL figure within 3 spaces,a friendly REBEL figure within 3 spaces declares an attack,None,FALSE,"When a friendly REBEL figure within 3 declares an attack, it may spend a Power Token from a friendly REBEL figure within 3 of itself for its effect",None,None
Krrsantan,DC,Full of Rage,1,attack:on_declare,attacker,automatic,TRUE,None,you have suffered 3 or more Damage,None,FALSE,"Before you declare an attack, if you have suffered 3 or more Damage, become Focused",condition,None
Krrsantan,DC,Electrified Knuckledusters,1,special_action,None,prompt,FALSE,an adjacent hostile figure,None,None,FALSE,"Choose an adjacent hostile figure and roll 1 blue die; that figure suffers Damage equal to the Damage results, then if 1 or more Surge results it becomes Stunned",damage;condition,likely a special action
Kuiil,DC,Mounted,1,start_of_activation,None,automatic,TRUE,None,None,None,FALSE,"At the start of your activation, gain 3 movement points",gain_mp,None
Kuiil,DC,Hop On!,1,special_action,None,prompt,TRUE,a SMALL friendly figure with cost 8 or less,None,None,FALSE,"Choose a SMALL friendly figure with figure cost 8 or less; when you enter that figure's space this activation, you may interrupt to push that figure 1 space",push,None
KX-Series Security Droid (Elite),DC,Shoulder Rush,1,double_action,None,prompt,FALSE,an adjacent hostile figure,None,None,FALSE,"Double Action: Move up to 6 spaces and choose an adjacent hostile figure; if SMALL, push it 1 space and enter the space it exited; if not SMALL, it is not pushed and KX cannot enter its space, but KX may still attack it; then perform an attack targeting the chosen figure",movement;push,"Shoulder Rush rework: double action, move 6, non-SMALL no-push/no-enter still attacks [CHANGED 2026-06-21 IACP update — does not match printed text]"
KX-Series Security Droid (Elite),DC,Deference Protocol,1,during_activation,None,prompt,TRUE,None,a friendly LEADER enters an adjacent space,once per round,FALSE,"When a friendly LEADER enters an adjacent space, you may gain 1 Block token",None,trigger window is friendly LEADER entering adjacent space
Lando Calrissian,DC,Resourceful,1,attack:rerolls,attacker,prompt,TRUE,None,None,None,FALSE,"While attacking or defending, you may reroll 1 of your attack or defense dice",reroll,also applies on defender side
Lando Calrissian,DC,Resourceful,2,attack:rerolls,defender,prompt,TRUE,None,None,None,FALSE,"While attacking or defending, you may reroll 1 of your attack or defense dice",reroll,also applies on attacker side
Lando Calrissian,DC,Gambit,1,attack:rerolls,attacker,prompt,TRUE,None,before you reroll a die,None,FALSE,"Before you reroll a die, you may replace it with another die of the same type; after rolling, the new die is considered rerolled",reroll,also applies on defender side
Lando Calrissian,DC,Gambit,2,attack:rerolls,defender,prompt,TRUE,None,before you reroll a die,None,FALSE,"Before you reroll a die, you may replace it with another die of the same type; after rolling, the new die is considered rerolled",reroll,also applies on attacker side
Lando Calrissian,DC,Shrewd Scoundrel,1,attack:rerolls,attacker,prompt,TRUE,None,before you reroll a die with Resourceful,once per activation,FALSE,"Before you reroll a die with Resourceful, guess a number 0-2; if Damage or Block symbols match after rerolls, double that die's results",reroll,also applies on defender side
Lando Calrissian,DC,Shrewd Scoundrel,2,attack:rerolls,defender,prompt,TRUE,None,before you reroll a die with Resourceful,once per activation,FALSE,"Before you reroll a die with Resourceful, guess a number 0-2; if Damage or Block symbols match after rerolls, double that die's results",reroll,also applies on attacker side
Leia Organa,DC,Battlefield Leadership,1,special_action,None,prompt,FALSE,another friendly figure within 3 spaces,None,None,FALSE,"Perform an attack, then choose another friendly figure within 3 spaces; that figure may interrupt to move up to 1 space and perform an attack with the same target",movement,None
Loku Kanoloa,DC,Set Your Sights,1,during_setup,None,automatic,FALSE,a unique hostile figure,None,None,FALSE,"At the start of the mission, place a Recon token on a unique hostile figure",None,setup placement effect
Loku Kanoloa,DC,Set Your Sights,2,attack:modifiers,attacker,automatic,TRUE,a friendly figure attacking a figure with a Recon token,a friendly figure is attacking a figure with a Recon token,None,FALSE,"While a friendly figure is attacking a figure with a Recon token, apply Pierce 1 to the attack results",None,effect timing
Loku Kanoloa,DC,Priority Target,1,attack:on_declare,attacker,automatic,TRUE,None,None,None,FALSE,Figures do not block line of sight for this figure's attacks,None,keyword ability
Loku Kanoloa,DC,Mon Cala Special Forces,1,attack:on_declare,attacker,automatic,TRUE,None,target has a Recon token,None,FALSE,"When you declare an attack targeting a figure with a Recon token, you become Focused",condition,None
Loth-cat (Elite),DC,Pounce,1,special_action,None,prompt,TRUE,None,None,None,FALSE,"Place your figure in an empty space within 3 spaces, then you may perform an attack",move,None
Loth-cat (Elite),DC,Fresh Catch,1,special_action,None,prompt,TRUE,you or an adjacent CREATURE,None,None,FALSE,You or an adjacent CREATURE gains 1 Power Token,None,None
Loth-cat (Elite),DC,Curious,1,always,None,automatic,TRUE,None,after you interact,None,FALSE,"After you interact, suffer 1 Strain",strain,None
Loth-cat (Regular),DC,Pounce,1,special_action,None,prompt,TRUE,None,None,None,FALSE,"Place your figure in an empty space within 3 spaces, then you may perform an attack",move,None
Loth-cat (Regular),DC,Rat Catcher,1,special_action,None,prompt,TRUE,you or an adjacent CREATURE,None,None,FALSE,You or an adjacent CREATURE gains 1 Block Token,None,None
Loth-cat (Regular),DC,Curious,1,always,None,automatic,TRUE,None,after you interact,None,FALSE,"After you interact, suffer 1 Strain",strain,None
Luke Skywalker,DC,Saber Strike,1,special_action,None,prompt,TRUE,None,None,None,FALSE,Perform a melee attack using 1 red and 1 yellow die; this attack gains Pierce 3,None,None
Luke Skywalker,DC,Inspiring,1,attack:rerolls,attacker,prompt,FALSE,another friendly figure within 3 spaces,another friendly figure within 3 spaces is attacking,None,FALSE,"While another friendly figure within 3 spaces is attacking, it may reroll 1 die",reroll,None
Luke Skywalker (Jedi Knight),DC,Deflect,1,attack:after_resolves,defender,prompt,FALSE,a hostile figure of your choice in your line of sight,a Ranged attack targeting you or an adjacent friendly figure resolves,None,FALSE,"After a Ranged attack targeting you or an adjacent friendly figure resolves, a hostile figure of your choice in your line of sight suffers 1 Damage",damage,None
Luke Skywalker (Jedi Knight),DC,Heroic,1,during_activation,None,prompt,TRUE,None,None,once per activation,FALSE,"Once during your activation, you may perform an attack without spending an action",None,None
Mak Eshka'rey,DC,Camouflage,1,always,None,automatic,FALSE,hostile figures 4 or more spaces away,None,None,FALSE,Hostile figures 4 or more spaces away cannot draw line of sight to you; you do not block line of sight for those figures,None,None
Mara Jade,DC,Adaptive Skills,1,always,None,automatic,TRUE,None,None,None,FALSE,"Your affiliation matches your army's affiliation; gain HUNTER (IMPERIAL), SMUGGLER (SCUM), or GUARDIAN (REBEL)",None,None
Mara Jade,DC,Fast Learner,1,during_activation,None,prompt,TRUE,None,a Command card whose restriction matches another Deployment card in your army (except Arcing Shot),once per round,FALSE,"Play a Command card whose restriction matches the name of another Deployment card in your army, except Arcing Shot",cc_play,None
Mara Jade,DC,Professional,1,attack:rerolls,attacker,prompt,TRUE,None,None,None,FALSE,"While attacking, you may reroll 1 attack die",reroll,None
Maul,DC,Dual-Bladed Fury,1,attack:on_declare,attacker,prompt,TRUE,None,None,None,FALSE,"Before you declare an attack, choose: this attack gains Reach and Cleave 2, OR you become Focused",condition,None
Maul,DC,Sustained by Rage,1,always,None,automatic,TRUE,None,None,None,FALSE,You cannot recover Damage,None,"always-on passive, split from defeat-prevention (alexanbv 2026-06-16)"
Maul,DC,Sustained by Rage,2,when_suffers_damage_equal_to_health,None,automatic,TRUE,None,you have not resolved an activation this round,None,FALSE,"If you have not resolved an activation this round, you cannot be defeated",None,defeat-prevention checked before-defeated (alexanbv 2026-06-16)
MHD-19,DC,Medical Loadout,1,special_action,None,prompt,TRUE,you or an adjacent friendly figure,None,None,FALSE,You or an adjacent friendly figure recovers 3 Damage,recover,None
MHD-19,DC,Improper Procedure,1,special_action,None,prompt,FALSE,an adjacent hostile figure,None,None,FALSE,Choose an adjacent hostile figure; that figure suffers 1 Damage and becomes Weakened,damage;condition,None
Migs Mayfeld,DC,Locked and Loaded,1,attack:after_resolves,attacker,automatic,TRUE,None,None,None,FALSE,"You may have up to 3 Power Tokens; after you resolve an attack, gain 2 Power Tokens",None,None
Migs Mayfeld,DC,Droid Arm,1,attack:on_declare,attacker,prompt,TRUE,None,None,None,FALSE,"Before you declare an attack, you may discard a Power Token to draw line of sight to the target from a space adjacent to you",None,None
Migs Mayfeld,DC,Return Fire,1,attack:after_resolves,defender,prompt,FALSE,the attacker,an attack targeting you is resolved,once per round,FALSE,"After an attack targeting you is resolved, interrupt to perform an attack targeting that attacker",None,None
Moff Gideon,DC,I Know Everything,1,during_setup,None,prompt,FALSE,opponent Command deck,None,None,FALSE,"During setup, before drawing Command cards, search opponent's Command deck and reveal 2 cards; opponent chooses 1 to shuffle back, return the other to the box",None,None
Moff Gideon,DC,You Have Something I Want,1,during_activation,None,prompt,FALSE,a hostile figure within 4 spaces,a hostile figure within 4 spaces has a Power Token or condition token,once per activation,FALSE,Choose a Power Token or condition token on a hostile figure within 4 spaces; that figure suffers 3 Damage unless it transfers the token to you,damage,None
Murne Rin,DC,False Orders,1,special_action,None,prompt,FALSE,a hostile figure with cost 4 or less within 4 spaces,None,None,FALSE,Choose a hostile figure with figure cost 4 or less within 4 spaces; perform a move or attack with that figure,movement,None
Murne Rin,DC,Field Report,1,special_action,None,prompt,TRUE,up to 2 friendly figures within 4 spaces with 2 or less attack dice,None,None,FALSE,Choose up to 2 friendly figures within 4 spaces with 2 or less printed attack dice; the chosen figures become Hidden,condition,None
Murne Rin,DC,Figurehead,1,when_suffers_strain,None,prompt,TRUE,a friendly figure within 4 spaces,when a friendly figure within 4 spaces suffers Strain,None,FALSE,"When a friendly figure within 4 spaces suffers Strain, you may suffer Strain to prevent 1 of it",strain,"STRAIN ONLY — no damage (alexanbv 2026-06-19: ""Figurehead is for STRAIN not damage""). Wired in strain pipeline (strain-handler.js)"
Nexu (Elite),DC,Pounce,1,special_action,None,prompt,TRUE,None,None,None,FALSE,"Place your figure in an empty space within 3 spaces, then you may perform an attack",move,None
